(121 - 3,304020) Muerto: 0
(129 - 3,083740) Muerto: 0
(119 - 3,605380) Muerto: 0
(121 - 3,304580) Muerto: 0
(118 - 3,322120) Muerto: 0
(129 - 3,002490) Muerto: 0
(122 - 3,084970) Muerto: 0
(115 - 3,562700) Muerto: 0
(124 - 2,959890) Muerto: 0
(121 - 3,207590) Muerto: 0
(3 - 301,216000) Muerto: 0
(127 - 2,971060) Muerto: 0
(120 - 2,836690) Muerto: 0
(120 - 3,562930) Muerto: 0
(120 - 3,527840) Muerto: 0
(120 - 3,377060) Muerto: 0
(120 - 3,546780) Muerto: 0
(117 - 3,547810) Muerto: 0
(123 - 3,692790) Muerto: 0
(116 - 3,731130) Muerto: 0
(112 - 3,687680) Muerto: 0
(111 - 3,881660) Muerto: 0
(6 - 300,604000) Muerto: 0
(117 - 3,323000) Muerto: 0
(3 - 300,960000) Muerto: 0
(126 - 3,252530) Muerto: 0
(117 - 3,130220) Muerto: 0
(120 - 3,386630) Muerto: 0
(115 - 3,441510) Muerto: 0
(112 - 3,353820) Muerto: 0
(120 - 3,067470) Muerto: 0
(116 - 3,348820) Muerto: 0
(117 - 3,206130) Muerto: 0
(119 - 3,062640) Muerto: 0
(122 - 3,033020) Muerto: 0
(126 - 2,723620) Muerto: 0
(116 - 3,566850) Muerto: 0
(111 - 3,782330) Muerto: 0
(116 - 3,506720) Muerto: 0
(119 - 3,053490) Muerto: 0
(119 - 3,468200) Muerto: 0
(115 - 3,356390) Muerto: 0
(18 - 300,334000) Muerto: 0
(121 - 3,285880) Muerto: 0
(118 - 3,463550) Muerto: 0
(122 - 3,285500) Muerto: 0
(109 - 3,887990) Muerto: 0
(129 - 3,595710) Muerto: 0
(123 - 3,312590) Muerto: 0
(104 - 3,741930) Muerto: 0
(122 - 3,281280) Muerto: 0
(118 - 3,573120) Muerto: 0
(115 - 3,432010) Muerto: 0
(123 - 3,364760) Muerto: 0
(115 - 2,947420) Muerto: 0
(5 - 300,510000) Muerto: 0
(14 - 301,983000) Muerto: 0
(5 - 300,992000) Muerto: 0
(118 - 3,695420) Muerto: 0
(110 - 3,392200) Muerto: 0
(114 - 3,554410) Muerto: 0
(7 - 300,513000) Muerto: 0
(109 - 3,325040) Muerto: 0
(116 - 3,169800) Muerto: 0
(117 - 2,896420) Muerto: 0
(116 - 3,290950) Muerto: 0
(129 - 2,755650) Muerto: 0
(120 - 3,353440) Muerto: 0
(124 - 2,957010) Muerto: 0
(121 - 2,967190) Muerto: 0
(129 - 2,660010) Muerto: 0
(118 - 2,926750) Muerto: 0
(130 - 2,595980) Muerto: 0
(109 - 3,383680) Muerto: 0
(112 - 3,140960) Muerto: 0
(115 - 3,111550) Muerto: 0
(125 - 3,142210) Muerto: 0
(8 - 0,539184) Muerto: 0
(123 - 3,454240) Muerto: 0
(128 - 2,948490) Muerto: 0
(120 - 3,010450) Muerto: 0
(5 - 300,556000) Muerto: 0
(123 - 2,829110) Muerto: 0
(119 - 3,308150) Muerto: 0
(120 - 2,990250) Muerto: 0
(122 - 3,379470) Muerto: 0
(82 - 2,716830) Muerto: 0
(115 - 3,466330) Muerto: 0
(8 - 300,637000) Muerto: 0
(112 - 2,990340) Muerto: 0
(119 - 3,852930) Muerto: 0
(121 - 2,889500) Muerto: 0
(107 - 4,030600) Muerto: 0
(118 - 3,216170) Muerto: 0
(5 - 300,287000) Muerto: 0
(12 - 0,420245) Muerto: 0
(118 - 3,368530) Muerto: 0
(127 - 2,912140) Muerto: 0
(125 - 2,923630) Muerto: 0
(126 - 2,991890) Muerto: 0
(118 - 3,500010) Muerto: 0
(114 - 3,406260) Muerto: 0
(116 - 3,123770) Muerto: 0
(134 - 2,934600) Muerto: 0
(120 - 3,329250) Muerto: 0
(133 - 2,747890) Muerto: 0
(124 - 3,255620) Muerto: 0
(109 - 3,538170) Muerto: 0
(118 - 2,854830) Muerto: 0
(114 - 3,707560) Muerto: 0
(119 - 3,145170) Muerto: 0
(3 - 301,153000) Muerto: 0
(116 - 3,621710) Muerto: 0
(118 - 3,599380) Muerto: 0
(117 - 3,757390) Muerto: 0
(7 - 300,463000) Muerto: 0
(123 - 3,348610) Muerto: 0
(4 - 300,566000) Muerto: 0
(119 - 3,254150) Muerto: 0
(3 - 300,277000) Muerto: 0
(107 - 3,258430) Muerto: 0
(115 - 3,497560) Muerto: 0
(121 - 3,404650) Muerto: 0
(112 - 4,045670) Muerto: 0
(114 - 3,967090) Muerto: 0
(5 - 302,091000) Muerto: 0
(122 - 3,183960) Muerto: 0
(132 - 2,482570) Muerto: 0
(10 - 300,876000) Muerto: 0
(108 - 3,486530) Muerto: 0
(117 - 3,414320) Muerto: 0
(4 - 300,971000) Muerto: 0
(110 - 2,707940) Muerto: 0
(127 - 2,911200) Muerto: 0
(5 - 300,787000) Muerto: 0
(4 - 300,322000) Muerto: 0
(118 - 3,677420) Muerto: 0
(112 - 3,522740) Muerto: 0
(116 - 3,125300) Muerto: 0
(105 - 3,999300) Muerto: 0
(129 - 3,102080) Muerto: 0
